policy_annual_premium,injury_claim,property_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,vehicle_claim,True_Label,Predicted_Label
1127.89,6580,6580,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,429,1000,6000000,67400,-43800,0,1,2,0,26320,N,N
1198.15,12260,12260,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,124,1000,0,0,-43200,19,3,0,2,49040,N,N
1048.39,6300,3150,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,87,500,0,0,0,2,1,2,1,25200,N,N
1525.86,13340,6670,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,304,1000,0,0,0,2,1,1,1,53360,N,N
1366.39,11680,5840,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,396,1000,0,0,-22400,22,3,2,1,35040,N,Y
1411.43,5940,11880,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,328,500,0,45100,-32800,17,1,2,1,41580,N,Y
1203.81,13700,20550,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,194,500,0,52500,-51300,17,3,0,2,61650,N,N
1631.1,670,670,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,96,1000,0,0,0,4,1,1,2,4690,N,Y
915.41,4050,4050,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,5,500,5000000,0,0,23,1,0,0,32400,N,N
870.63,11440,5720,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,151,2000,0,94800,-58500,12,3,1,1,45760,N,N
1379.93,9420,4710,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,257,500,0,0,0,6,3,0,2,37680,Y,Y
1690.27,6630,6630,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,325,1000,0,61500,0,11,1,0,3,59670,Y,Y
1327.41,3500,7000,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,158,2000,0,0,-38600,0,1,0,0,24500,N,N
951.56,15120,7560,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,234,500,0,59400,-78600,3,3,2,1,75600,Y,Y
1097.64,7080,21240,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,119,2000,0,27100,0,16,2,1,0,35400,N,Y
1411.3,10980,5490,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,264,500,0,55600,0,4,1,1,0,43920,Y,N
1341.24,5940,2970,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,135,2000,0,37100,-46500,18,3,0,1,23760,N,N
671.92,7120,7120,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,98,500,0,0,-26400,3,1,2,0,49840,N,N
1115.27,590,590,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,61,1000,0,0,-66000,10,1,2,1,4720,N,Y
1304.46,540,1080,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,9,2000,0,51700,-33300,6,1,0,3,4320,Y,Y
1744.64,3640,7280,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,158,1000,3000000,0,0,4,3,0,1,25480,N,N
1143.46,9760,9760,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,338,500,4000000,0,0,4,1,2,1,39040,N,N
1134.08,5900,5900,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,156,2000,0,0,0,3,1,2,0,47200,Y,Y
973.5,7860,7860,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,415,1000,0,50400,0,15,2,1,3,35370,N,N
1268.79,8180,16360,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,413,2000,0,0,-31000,15,1,2,2,73620,Y,N
954.16,12600,12600,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,64,1000,0,53200,0,22,4,0,0,50400,N,Y
1354.83,4060,4060,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,103,500,0,66300,0,14,2,2,2,32480,N,N
1253.12,7910,15820,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,235,500,4000000,38400,0,22,1,2,2,63280,N,N
1451.01,2810,5620,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,298,500,0,47800,0,17,1,2,2,19670,N,N
1726.91,720,1440,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,65,1000,0,0,0,14,1,0,0,5040,N,Y
972.47,7710,15420,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,231,2000,0,0,-58100,15,3,2,2,53970,N,N
1393.57,480,480,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,195,1000,0,47600,-39600,5,1,0,1,1680,N,N
1017.18,8740,8740,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,93,2000,0,0,0,21,3,1,3,30590,N,Y
767.14,1760,880,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,404,500,0,25500,-36700,8,1,0,1,6160,N,Y
1141.1,5970,11940,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,75,1000,0,0,0,15,2,0,1,53730,N,N
1667.83,1200,1200,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,137,500,0,48500,-67400,4,1,1,1,4200,N,N
1295.63,5940,5940,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,211,2000,4000000,42200,-33800,22,3,1,0,41580,N,N
1034.27,7100,7100,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,152,1000,0,0,0,18,1,1,0,49700,N,N
1105.49,12420,6210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,271,500,0,56200,-50000,12,2,2,3,49680,Y,Y
1221.17,5670,11340,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,37,1000,0,49300,0,4,3,0,0,34020,N,N
1207.36,7420,14840,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,118,2000,0,0,-57000,22,2,1,0,51940,N,Y
1331.69,10300,10300,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,231,2000,0,0,0,12,1,1,2,46350,N,N
1233.85,0,14280,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,193,500,0,0,0,23,3,2,1,49980,N,N
1124.59,6800,6800,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,100,500,6000000,67300,0,4,1,1,2,27200,N,N
1366.9,10540,10540,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,39,2000,0,0,-15700,14,3,1,0,31620,Y,Y
1248.25,1460,1460,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,40,1000,4000000,0,-33300,8,1,0,2,5840,N,N
912.3,12500,12500,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,356,500,0,58500,-44000,23,3,2,1,43750,Y,Y
1262.08,10940,10940,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,199,500,0,48500,0,4,1,0,3,38290,Y,Y
1389.86,6510,6510,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,75,1000,0,0,0,23,2,2,3,52080,N,N
1366.42,5910,5910,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,151,500,0,44000,0,14,3,1,2,47280,Y,N
1471.24,4060,4060,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,148,500,0,57500,-93600,4,3,2,2,24360,N,N
1239.22,13800,13800,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,107,500,7000000,43400,-91200,12,1,0,1,62100,Y,N
1307.74,4170,4170,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,243,500,0,0,-75700,10,3,0,1,29190,N,Y
835.02,0,3770,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,478,500,0,59600,0,17,3,1,1,30160,N,N
903.32,6340,3170,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1,500,0,0,0,1,3,1,0,22190,N,N
999.52,1440,720,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,210,500,0,0,0,6,1,1,2,6480,N,N
1356.92,5220,5220,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,458,2000,5000000,0,0,2,1,0,1,36540,N,Y
1265.72,9900,9900,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,475,500,0,0,-59500,23,1,0,2,44550,N,Y
1145.85,9220,4610,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,435,2000,0,0,-40000,19,3,1,1,27660,N,N
1724.09,5980,11960,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,276,1000,0,0,0,23,3,0,0,47840,N,N
1091.73,5550,5550,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,113,2000,0,36100,-42300,15,3,0,2,38850,Y,Y
1437.88,14000,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,88,1000,0,42800,-51200,3,1,2,0,42000,N,N
1281.72,4340,4340,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,220,1000,0,33500,-49500,20,4,0,2,39060,N,N
1314.6,12780,6390,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,328,500,0,24800,0,0,1,2,3,51120,Y,N
1231.01,3160,3160,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,133,1000,0,0,-31700,19,3,1,2,22120,N,N
1111.72,4650,4650,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,61,500,0,54600,0,6,1,1,2,32550,N,Y
1561.41,12780,12780,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,366,1000,0,21200,0,5,3,1,3,44730,N,N
1318.24,940,470,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,31,2000,9000000,0,-78600,9,1,0,1,3290,N,Y
1848.81,11420,5710,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,215,500,0,0,-49000,20,3,2,2,51390,Y,Y
1246.68,5900,5900,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,179,2000,0,0,0,10,1,0,1,41300,N,N
1330.39,4990,9980,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,99,500,0,0,0,3,1,2,2,34930,N,N
1030.95,7180,3590,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,270,2000,0,47200,0,20,3,1,0,25130,Y,Y
1693.83,5340,5340,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,204,1000,7000000,44000,-20800,6,1,1,0,42720,N,N
1153.49,10100,5050,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,208,500,0,0,0,16,3,1,0,35350,N,N
1520.78,520,260,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,140,1000,0,0,-42900,5,1,0,2,2080,Y,Y
1390.89,9720,4860,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,254,500,5000000,0,-74400,23,1,2,2,38880,N,N
1256.2,8340,8340,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,204,500,0,0,0,10,3,1,2,25020,N,N
1107.07,600,600,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,137,500,0,0,-45300,21,1,0,0,2100,N,N
